 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.089  470.411  470.452  470.536
    0.076  470.000  470.397  471.538  471.685  471.983
    0.113  470.000  470.439  471.542  471.685  471.973
    0.151  470.000  470.490  471.610  471.755  472.047
    0.189  470.000  470.548  471.708  471.858  472.161
    0.227  470.000  470.604  471.809  471.965  472.279
    0.264  470.001  470.657  471.902  472.063  472.388
    0.302  470.001  470.706  471.986  472.151  472.485
    0.340  470.001  470.749  472.052  472.221  472.561
    0.378  470.001  470.783  472.099  472.270  472.613
    0.415  470.001  470.812  472.134  472.305  472.650
    0.453  470.001  470.829  472.141  472.310  472.653
    0.491  470.001  470.839  472.131  472.298  472.636
    0.529  470.001  470.841  472.103  472.267  472.596
    0.566  470.001  470.832  472.054  472.212  472.531
    0.604  470.001  470.816  471.988  472.139  472.445
    0.642  470.002  470.796  471.916  472.061  472.354
    0.680  470.002  470.772  471.839  471.977  472.255
    0.717  470.002  470.753  471.773  471.905  472.172
    0.755  470.002  470.757  471.766  471.896  472.160
    0.793  470.002  470.618  471.429  471.534  471.745
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     1.00   86.496  470.000  470.002  470.841  472.310
 
 ==================================================================
 
 
         TEMPERATURES IN HOT CHANNEL         
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.171  470.621  470.742  470.874
    0.076  470.000  470.763  472.360  472.789  473.257
    0.113  470.000  470.844  472.389  472.803  473.256
    0.151  470.000  470.943  472.510  472.931  473.390
    0.189  470.001  471.053  472.677  473.113  473.590
    0.227  470.001  471.162  472.849  473.301  473.796
    0.264  470.001  471.264  473.006  473.474  473.985
    0.302  470.001  471.358  473.149  473.630  474.155
    0.340  470.001  471.439  473.264  473.754  474.289
    0.378  470.002  471.506  473.348  473.842  474.383
    0.415  470.002  471.561  473.412  473.908  474.451
    0.453  470.002  471.595  473.431  473.923  474.462
    0.491  470.002  471.614  473.423  473.908  474.439
    0.529  470.003  471.617  473.384  473.858  474.377
    0.566  470.003  471.601  473.311  473.769  474.271
    0.604  470.003  471.569  473.209  473.649  474.131
    0.642  470.003  471.531  473.099  473.520  473.980
    0.680  470.003  471.485  472.978  473.379  473.817
    0.717  470.003  471.448  472.876  473.259  473.678
    0.755  470.004  471.456  472.868  473.247  473.661
    0.793  470.004  471.189  472.324  472.628  472.961
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     1.00   69.197  470.000  470.004  471.617  473.923
 
 ==================================================================
 
 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.098  470.452  470.498  470.590
    0.076  470.000  470.436  471.692  471.854  472.182
